Data;Endereco;Sentido;referencia;Hora_inicio;Hora_fim;Classificacao
16/01/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;16:02;16:44;TRANSITAVEL
16/01/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;16:03;17:00;INTRANSITAVEL
16/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;16:03;16:46;TRANSITAVEL
16/01/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;23:01;01:33;TRANSITAVEL
16/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;23:06;01:35;INTRANSITAVEL
01/02/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:45;17:33;TRANSITAVEL
01/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;15:50;17:33;TRANSITAVEL
01/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;20:16;21:51;TRANSITAVEL
02/02/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;17:52;19:05;TRANSITAVEL
06/02/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:51;16:37;TRANSITAVEL
06/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;15:55;16:26;TRANSITAVEL
10/02/2020;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;03:01;08:19;INTRANSITAVEL
10/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;03:25;09:47;INTRANSITAVEL
10/02/2020;AV OTAVIANO ALVES DE LIMA;A SENNA;PTE FREGUESIA DO O;04:34;05:33;INTRANSITAVEL
10/02/2020;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;04:57;19:47;INTRANSITAVEL
10/02/2020;MARGINAL TIETE;A SENNA;PTE FREGUESIA DO O;04:58;05:33;INTRANSITAVEL
10/02/2020;AV BRAZ LEME;BAIRRO;R DR MELLO NOGUEIRA;05:21;05:34;INTRANSITAVEL
10/02/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;07:06;13:29;TRANSITAVEL
10/02/2020;AV OTAVIANO ALVES DE LIMA;A SENNA;AC ESQUERDO A PONTE DO LIMAO;09:18;09:20;INTRANSITAVEL
10/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;09:20;09:21;INTRANSITAVEL
10/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;09:20;09:21;INTRANSITAVEL
10/02/2020;R JACOFER;ÚNICO;R DOMINGOS MARCHETTI;14:33;14:43;INTRANSITAVEL
10/02/2020;R DOMINGOS MARCHETTI;AMBOS;R JOSE PAPATERRA LIMONGI;14:36;14:47;INTRANSITAVEL
10/02/2020;R BRAZELISA ALVES DE CARVALHO;AMBOS;ALTURA DO NUMERO 130;20:59;00:44;INTRANSITAVEL
19/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;17:16;17:27;TRANSITAVEL
24/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;17:26;18:51;TRANSITAVEL
24/02/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:32;19:13;TRANSITAVEL
24/02/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;17:34;18:51;TRANSITAVEL
25/02/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:54;18:40;TRANSITAVEL
02/03/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:06;15:14;INTRANSITAVEL
02/03/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;LIMAO;15:11;15:54;INTRANSITAVEL
08/03/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:03;16:03;INTRANSITAVEL
27/06/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;00:22;01:12;TRANSITAVEL
27/06/2020;MARGINAL TIETE;A SENNA;PTE FREGUESIA DO O;00:23;03:57;TRANSITAVEL
27/06/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;02:11;02:12;TRANSITAVEL
27/06/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;02:11;14:01;INTRANSITAVEL
27/06/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;10:42;15:20;INTRANSITAVEL
20/10/2020;PC DEL AMOROSO NETO;AMBOS;AV ORDEM E PROGRESSO;15:32;17:00;INTRANSITAVEL
20/10/2020;R CESAR PENNA RAMOS;AMBOS;ALTURA DO N 70;15:33;17:00;TRANSITAVEL
20/10/2020;R QUIRINOPOLIS;AMBOS;AV IMIRIM;15:40;17:00;INTRANSITAVEL
20/10/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:45;23:51;TRANSITAVEL
20/10/2020;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;15:47;16:28;INTRANSITAVEL
20/10/2020;AV INAJAR DE SOUZA;FREGUESIA;ALTURA DO NUMERO 2505;16:07;21:57;INTRANSITAVEL
11/11/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:05;17:19;INTRANSITAVEL
11/11/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;17:31;18:23;TRANSITAVEL
01/12/2020;AV INAJAR DE SOUZA;AMBOS;R ANTONIO RIBEIRO DE MORAIS;14:06;15:54;TRANSITAVEL
08/12/2020;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;15:17;17:14;TRANSITAVEL
08/12/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:32;16:54;INTRANSITAVEL
08/12/2020;AV NSRA DO O;BAIRRO;AV ANTONIO MUNHOZ BONILHA;15:48;15:40;INTRANSITAVEL
28/12/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;21:55;22:24;INTRANSITAVEL
28/12/2020;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;22:11;22:41;INTRANSITAVEL
01/01/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;ALTURA DO NUMERO 42;15:59;16:38;INTRANSITAVEL
